REFCODE,A,B,C,α,β,γ,Volume,Density,Atom Count,Total Dispersion Correction Energy (vdW) eV,Total Energy eV,Difference in Energy eV,Total Energy Per Molecule eV,Energy per Atom (vdW) eV,CC,CH,CCl,CO,CS,CBr,CN,HBr,HH,HO,HS,HCl,HN,OCl,OO,OS,BrO,ON,NN,ClCl,NS,SS,NCl,SCl,ClBr,SBr,NBr,BrBr,FF,FO,FC,FH,FS,FCl,FN,FBr,II,BrI,ClI,FI,SI,OI,NI,CI,HI,BAND GAP
OXEMIO (2 OF 2),6.954,10.486,16.947,82.193,85.77,73.239,1171.505,1.57196,112,-18425.863,-18417.404,-8.459,-9208.70195,-0.075525,15,23.2,0,0,0,0,3.3,0,17.7,0,0,0,11.6,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.2,0,0.1,28.8,0,0,0.1,0,0,0,0,0,0,0,0,0,0,
OXIYIE,9.602,10.507,12.003,82.335,77.162,79.76,1.16E+03,1.85537,88,-11449.117,-11443.089,-6.028,-5721.54445,-0.068502273,0.3,28.9,0,0,0,9.6,0,40.2,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OXIZAX,9.701,9.733,11.144,78.997,78.245,74.854,9.84E+02,1.64812,88,-10039.126,-10032.865,-6.261,-5016.4326,-0.071146591,0.1,32.7,0,0,0,9.3,0,17.7,37.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PALFUE,9.556,7.623,16.25,90,103.671,90,1.15E+03,1.34376,116,-12671.992,-12664.51,-7.482,-3166.12755,-0.064496552,2.7,11.8,1,0,0,0,0.1,0,44.9,0,0,19.1,20,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PAMCIR,9.288,3.814,31.696,90,97.115,90,1114.193,1.79521,108,-14790.473,-14781.869,-8.604,-3695.46725,-0.079662963,17.5,11.5,0,1.9,0,1.2,0,7.4,39.6,14.1,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PASKUR,6.189,24.929,5.217,90,93.273,90,803.558,2.5448,48,-17248.575,-17245.251,-3.324,-4311.312625,-0.06925,1.7,0,0,0,0,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,21.1,0,15.8,0,0,0,0,40.9,0,0,0,0,0,0,0,0,0,
PEBKIS,3.795,12.466,21.346,90,90,90,1009.872,1.67109,84,-14914.231,-14907.337,-6.894,-3726.8343,-0.082069048,11.6,10.2,3.6,3.9,0,0,2.4,0,11.4,20.3,0,23.7,0.8,0,0.5,0,0,0.6,0.2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PEQVEO,9.751,10.445,12.416,110.346,101.623,102.891,1100.651,1.91989,96,-31453.265,-31447.521,-5.745,-15723.76025,-0.059839583,6.6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.2,0,15.2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,
PEQWEP,12.228,12.228,12.228,122.736,72.287,139.773,973.246,1.78912,88,-23574.153,-23568.768,-5.385,-11784.3842,-0.061188636,10.1,6.1,0,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,0,13.1,37.3,0,0,0,0,0,0,0,0,0,0,0,0,0,
PETGIG,11.985,5.072,14.789,90,113.735,90,823.007,2.41298,52,-16771.027,-16767.161,-3.866,-8383.5804,-0.07435,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.9,0,20.1,0,0,0,0,0,7.1,0,0,16,0,0,0,10.8,0,
PEYDEE,7.039,7.039,12.176,96.145,96.145,81.826,591.052,1.63627,52,-11401.789,-11398.254,-3.535,-5699.12685,-0.067988462,11.3,12.7,0,0,0,0,7.7,0,5.2,0,0,0,16.6,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,10.1,0,3.3,24.7,0,0,7.9,0,0,0,0,0,0,0,0,0,0,
PFBZAC01,6.337,7.832,8.134,114.7,97.616,90.291,3.63E+02,1.94184,30,-10538.65,-10536.878,-1.773,-5268.4388,-0.059086667,3.6,0.3,0,2.9,0,0,0,0,0.7,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7,20.4,25.9,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,
PFBZAD01,26.81,6.226,3.69,90,94.876,90,613.694,1.51648,60,-10752.88,-10748.965,-3.915,-2687.2413,-0.065251667,10.3,11.4,0,4,0,0,0,0,22.4,24.5,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,1.7,23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,
PFBZAD15,3.694,6.235,26.692,90,92.77,90,6.14E+02,1.51562,60,-10752.88,-10748.971,-3.909,-2687.2428,-0.06515,10.3,11.6,0,4.1,0,0,0,0,22.5,24.5,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,1.5,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,
PFTENT02,6.271,6.271,9.824,90,90,76.83,3.76E+02,1.76632,28,-8843.076,-8841.248,-1.828,-4420.6238,-0.065292857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFTENT11,6.27,6.27,9.838,90,90,76.846,3.77E+02,1.76428,28,-8843.076,-8841.251,-1.825,-4420.6253,-0.065182143,0.1,0,0,0,0,0,22.1,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,18,0,27.6,0,0,0,28,0,0,0,0,0,0,0,0,0,0,
PFTENT21,6.265,6.265,9.838,90,90,76.869,3.76E+02,1.76691,28,-8843.076,-8841.246,-1.829,-4420.6231,-0.065332143,0.1,0,0,0,0,0,22.1,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,18,0,27.6,0,0,0,28,0,0,0,0,0,0,0,0,0,0,
CAMSOZ,13.9139,13.9139,16.6107,100.903,100.903,29.3721,1546.82,2.26746,128,-21742.77719,-21733.26152,-9.51566943,-2716.657691,-0.074341167,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.48
COVJIG01,6.11758,3.70148,27.925,90,97.7392,90,6.27E+02,1.4853,60,-10751.45688,-10747.64085,-3.81602766,-2686.910213,-0.063600461,10.2,11.2,0,4.1,0,0,0,0,25.6,25.4,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,2.2,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,3.105
QATKOM,11.9225,11.9225,7.74618,107.812,107.812,19.039,3.41E+02,2.44014,24,-4290.523005,-4288.625133,-1.897872046,-4288.625133,-0.079078002,10.8,6.4,0,0,0,9.4,0,18.7,15.6,10.5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.176
QECJOZ,3.83641,8.49069,21.8757,96.9176,91.2474,96.9333,7.02E+02,1.87432,56,-8865.640234,-8861.518786,-4.121448224,-2215.379696,-0.07359729,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.77
QECZEF,8.61966,10.2183,17.0474,90,104.959,90,1450.62,1.32019,140,-17402.30935,-17393.47998,-8.8293612,-4348.369996,-0.063066866,4.5,30.3,0,0,0,0,0.6,0,44.4,0,0,0,8,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.3,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.325
QEDPEW,9.035889,9.035889,7.449882,90,90,109.0527,574.941179,1.37085,56,-6087.622353,-6083.650011,-3.972342094,-3041.825005,-0.07093468,1.8,38.4,0,0,5.7,0,0,0,44.5,0,5.5,0,3.3,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.389
QERTIR01,9.267489,9.753025,23.36027,90,90,90,2.11E+03,1.43877,200,-24832.60312,-24818.47296,-14.13016774,-3102.30912,-0.070650839,4.8,30.3,4.2,0,0,0,0,0,34.1,0,0,12.4,10.1,0,0,0,0,0,0,2,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.844
QEWXIA,3.838223,13.88174,13.23489,90,91.29375,90,704.991402,1.64892,56,-9571.507145,-9567.179075,-4.328069464,-2391.794769,-0.077286955,9,8.5,7.6,2.4,0,0,0,0,11.9,17.9,0,34.1,0,2.5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.626
QEZRES,16.42709,15.41519,5.956784,90,90,90,1508.417248,1.5094,144,-19400.31725,-19389.32823,-10.98901646,-4847.332057,-0.076312614,11,29.1,6.5,1.7,0,0,0,0,29.6,14.2,0,5.9,0,1.1,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.251
QILHEA,7.119666,7.666178,10.42941,93.33043,89.51535,98.45506,562.105776,1.46957,50,-6452.109302,-6448.374667,-3.734634785,-3224.187334,-0.074692696,8.8,16.1,1.8,0,0,0,3.1,0,28.8,0,14,15.4,8.4,0,0,0,0,0,0.3,0.6,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91
QIWHAG,7.727474,8.197926,14.3613,90,90,90,9.10E+02,1.73822,84,-10983.08356,-10977.15007,-5.93348949,-2744.287517,-0.07063678,0.7,26.4,0,0.8,0,0.6,0.3,18.7,24.9,17.1,0,0,4.5,0,0,0,1.9,1.2,0,0,0,0,0,0,0,0,2.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.936
QOHRIP,6.262819,10.29989,11.19978,88.61893,81.57453,87.01091,7.14E+02,1.40248,76,-8936.488554,-8931.11569,-5.372863731,-4465.557845,-0.070695575,4.7,25.3,0,2.6,0,0,1.2,0,51.1,13.2,0,0,0.8,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.944
QOPJUC,5.806872,4.641097,27.44983,90,94.98154,90,7.37E+02,1.62762,68,-10785.11747,-10779.95205,-5.16542397,-2694.988011,-0.075962117,6.8,13.6,5.7,2.2,0,0,4,0,18.4,16.2,0,17.1,11.2,0,0.6,0,0,1,0.2,2.6,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.318
ACNAQU01,3.7818,7.832,26.872,90,90,90,7.96E+02,1.52031674,80,-11469.73873,-11463.31364,-6.42508635,,-0.080313579,17.9,15.6,0,4.3,0,0,0,0,25.5,36.3,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.545
AHACIX,7.7259,11.0541,11.8753,77.883,88.493,74.99,957.334,1.50003525,96,-14755.5677,-14749.15364,-6.41406792,,-0.066813208,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.303
AJAGOH,8.895,5.1184,12.39,90,107.169,90,538.957,1.80613413,56,-9793.290189,-9788.961366,-4.328823158,,-0.077300414,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.097
AKUNOK,6.2677,9.9095,12.429,82.398,85.577,72.896,730.741,1.57826423,68,-13563.31327,-13558.94441,-4.36886027,,-0.064247945,7.8,15.6,0,5.5,0,0,0.2,0,18.6,7.2,0,0,0,0,1.4,0,0,0.4,0,0,0,0,0,0,0,0,0,0,4.5,7.3,3.4,28.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.818
APUDEV,12.966,8.566,14.31,90,90.27,90,1.59E+03,1.85672351,144,-36563.3705,-36553.01605,-10.35444754,,-0.071905886,11.5,7.3,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,0,30,31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.965
AVIWIL,7.4731,12.5163,16.2952,90,100.565,90,1.50E+03,1.45926606,128,-18874.27271,-18865.59863,-8.67408662,,-0.067766302,5.5,32.6,5.6,0,0,0,0,0,24.2,10.8,0,20.6,0,0.3,0.4,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.705
BEBCUG,8.405,8.55,10.332,80.19,84.67,62.87,6.51E+02,1.2056176,72,-6486.529492,-6482.106406,-4.423086182,,-0.061431753,0,17.4,0,0,0,0,0,0,81.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325
BEWZEJ,8.9294,7.6605,13.2005,90,99.437,90,8.91E+02,1.97687156,72,-12724.85899,-12722.44396,-2.4150239,,-0.033541999,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.1,0,55.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.148
BEXMUN,6.925,7.7,10.473,104.648,103.713,91.751,5.22E+02,1.37456669,56,-7038.761488,-7035.32389,-3.437598506,,-0.061385688,1.8,16.4,0,0.1,0,0,0,0,47,33.3,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.195
BIGVUI01,11.3832,7.8114,16.5506,90,90,90,1.47E+03,3.42720289,72,-21120.55286,-21113.00829,-7.54456961,,-0.104785689,3.8,0,0,0,0,29.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.025
CAFVAG,15.09,3.694,12.073,90,90,90,672.979,1.77758919,64,Not Found,Not Found,#VALUE!,,#VALUE!,8.6,2,0,0,0,0,0,0,10.7,0,0,0,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9,0,13,36.7,0,0,0.3,0,0,0,0,0,0,0,0,0,0,2.231
CAMSUF,7.6069,12.5917,10.2546,90,106.6693,90,9.41E+02,2.7524351,64,-16124.02277,-16118.7784,-5.24437852,,-0.081943414,5.2,8.6,0,0.8,0,0,1,0,2.6,29.5,0,0,0.4,0,0.2,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,12.6,1.9,7,25.9,1.301
CCBCBT,8.48,10.95,8.56,90,110.9,90,7.43E+02,1.49377285,40,-8384.990293,-8381.793178,-3.197115135,,-0.079927878,36.3,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.063
COBDAA,5.7908,7.2544,35.8193,90,94.256,90,1.50E+03,1.56886077,144,-21108.08225,-21097.12657,-10.95567475,,-0.076081075,0.3,46.5,0,0,4,0,0,0,18.4,0,9.7,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,2.7,0,0.5,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.715
COHPEW,9.0986,11.2261,13.7829,112.913,96.345,93.942,1.28E+03,2.39372258,92,-22250.3546,-22243.55662,-6.79797856,,-0.073891071,10.3,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,9,21.8,0,0,0,0,3,0,0,15.7,0,0,0,3,28.1,2.898
DECFDP02,13.332,26.03,6.248,90,90,90,2.17E+03,2.04701462,176,-17012.00475,-17009.40046,-2.60429029,,-0.014797104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.1,0,38.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.798
DEXWUA,10.567,6.121,18.929,90,106.041,90,1.18E+03,1.39024522,120,-14710.6896,-14702.21732,-8.47228679,,-0.07060239,4.7,43.7,0,0,0,0,0,0,40.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.437
DUDPOJ,6.312,10.0036,10.9026,113.309,93.349,105.229,6.00E+02,2.08820166,46,-11659.7542,-11656.44805,-3.30615027,,-0.071872832,7.6,11.6,0,0,0,0,3.1,0,7.6,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3,0,13.5,23.9,0,0,1.7,0,0.1,0,0,3.9,0,0,4.2,5.4,7.7,2.505
DUMLOO,10.5842,9.2772,17.8208,90,90.018,90,1.75E+03,1.41515154,168,-24541.34312,-24530.81913,-10.52399113,,-0.062642804,0.3,26.1,0.4,0,0,0,0,0,34.9,0,0,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,20.9,0,2.3,0,0,0,0,0,0,0,0,0,0,0,4.007
DUPTAL,5.5709,24.304,12.9594,90,92.411,90,1.75E+03,1.32423662,172,-18004.07764,-17992.78653,-11.29111092,,-0.065645994,0.3,35.6,0,0,0,0,0.4,0,52.3,0,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.114
DUTHUW,7.7617,20.092,11.5094,90,91.893,90,1.79E+03,1.5414837,180,-21014.96861,-21002.50687,-12.46174059,,-0.069231892,0.8,36.6,0,0.1,0,2.9,0,11.3,43.4,4.3,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79
DUTREQ,3.6517,14.1214,12.285,90,95.651,90,630.423,1.66577841,60,-13484.25222,-13480.28866,-3.9635533,,-0.066059222,11.8,5.6,0,4.6,0,0,0,0,12.1,23.7,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,2.2,2.8,31.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.102
DUTWEV,5.9596,11.3897,9.8667,90,93.519,90,6.68E+02,1.82382044,56,-12601.31021,-12597.26324,-4.04697616,,-0.072267431,1.9,7.4,7.5,24.1,0,0,0,0,0.1,32.5,0,9.7,0,14.3,1.8,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.924
DUWLUD,14.094,4.8052,11.8483,90,104.77,90,7.76E+02,2.57659839,60,-18756.78654,-18752.23321,-4.553325,,-0.07588875,1.8,1.3,0,14.5,0,0,2.2,0,2.6,6.9,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,14.8,8.2,6.2,0,0,2.4,0,5,0,0,0,0,11.4,0,0.9,13.1,1.711
DUXSAS,6.823,9.388,12.374,108.987,93.214,102.002,726.513,1.60137747,72,-12553.43833,-12548.04749,-5.39084205,,-0.074872806,20.8,9.5,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,11.2,31.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.122
EFATOU,8.2189,6.0621,15.0977,90,102.835,90,733.429,1.54972386,64,-14348.99651,-14345.09158,-3.90493785,,-0.061014654,8.8,7,0,0,0,0,4.6,0,7.8,0,0,0,17.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,6.3,0,6.9,35.7,0,0,5.5,0,0,0,0,0,0,0,0,0,0,3.779
EFAXUE,9.0274,6.5933,13.117,90,90,90,780.729,1.7536212,76,-18400.74111,-18396.04138,-4.69972882,,-0.061838537,0.5,7.2,0,11,0,0,4.4,0,5,21,0,0,1.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.7,7.4,1.3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2.015
EGOSOK,3.8278,18.905,10.8874,90,95.649,90,784.036,1.68621867,64,-5448.001532,-5445.356245,-2.645286674,,-0.041332604,8.6,12.3,3.1,0,0,0,5.4,0,4.1,0,0,40.2,17.8,0,0,0,0,0,1,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.602
EKENUD,12.951,11.43,9.4079,90,109.51,90,1.31E+03,1.44295,128,-16635.02172,-16626.38071,-8.64101513,,-0.067507931,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.832
ENIVUS,3.997,21.584,9.751,90,100.994,90,825.792,2.47209342,48,Not Found,Not Found,#VALUE!,,#VALUE!,9.2,3.2,7.1,0,0,0,0,0,6.2,0,0,17.5,0,0,0,0,0,0,0,24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,19.1,0,0,0,0,4.4,5.8,Not Found
ERIXUY,4.1071,12.855,15.296,90,90,90,8.08E+02,2.85235276,56,-13052.29338,-13047.45222,-4.84115567,,-0.086449208,6.6,8.1,0,2,0,9,0,29.8,4.5,7.7,0,0,0,0,0.7,0,15.4,0,0,0,0,0,0,0,0,0,0,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.936
ETUDAA,8.0103,21.9268,9.7296,90,112.989,90,1.57E+03,1.44490941,144,-19068.11007,-19058.5237,-9.58636964,,-0.066572011,2.4,24.9,1,0.2,0,0,1,0,29.9,7.8,0,22.2,5.6,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.288
ETUDEE,8.373,15.3447,23.1401,90,90,90,2.97E+03,1.45561236,288,-40048.62598,-40029.38242,-19.24355882,,-0.066817913,1.9,24.3,1.6,1.7,0,0,0.8,0,29.3,8.6,0,12,6.1,1.9,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.5,11.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,2.393
EVACEK,4.5339,16.815,13.302,90,96.495,90,1.01E+03,1.35954952,116,-13752.31445,-13745.00986,-7.30458942,,-0.062970598,1.9,16.4,0,0.6,0,0,0,0,52.2,27.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.998
EVAKUI,7.79,17.125,8.811,90,110.274,90,1.10E+03,1.35702398,116,-13990.61807,-13982.77818,-7.83988159,,-0.067585186,2.3,38.1,0,0,0,0,0,0,40.9,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.757
EVATIF,5.6718,10.9476,12.2652,90,90,90,7.62E+02,2.38942369,56,-20829.16982,-20825.45101,-3.71881096,,-0.066407339,0.1,0,0,15.2,0,8.9,0.2,0,0,0,0,0,0,0,3.6,0,13.7,2,0,0,0,0,0,0,0,0,0,1.8,34.2,6.9,6.7,0,0,0,1.5,5.3,0,0,0,0,0,0,0,0,0,2.298
EVEMEY,19.733,5.1441,12.436,90,107.477,90,1.20E+03,1.30336978,120,-14203.39266,-14195.61419,-7.77847966,,-0.064820664,6.7,21.2,0,5.2,0,0,1.4,0,49.3,0,0,0,15.9,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.839
EVOBEX,16.1375,16.1375,7.5887,90,90,90,1.98E+03,1.52360519,208,-29234.51117,-29220.19622,-14.3149528,,-0.068821888,6.1,8.2,1.8,1.7,0,0,0,0,41.9,24.2,0,12.2,0,1.6,1.8,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.257
EXIPUX,9.17,8.849,16.337,90,94.415,90,1.32E+03,1.56379072,120,-14865.22104,-14856.93817,-8.2828787,,-0.069023989,1.9,34.5,0,0,0,0.4,3.1,17,28.2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.318
FACFAQ,5.799,5.799,14.53,90,90,90,4.89E+02,1.30640852,48,-6753.680178,-6750.706724,-2.973453759,,-0.061946953,0,34.6,0,0,0,0,0,0,35.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,28.7,0,0,0,0,0,0,0,0,0,0,0,0,0,4.316
FACFOE,7.4806,5.9608,11.725,90,103.815,90,507.698,1.49268099,48,-9334.79507,-9331.837372,-2.957697397,,-0.061618696,0.5,29.5,0,0,0,0,0,0,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0,5.5,38.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.338
FAJFEE,33.005,3.7442,10.782,90,90,90,1.33E+03,1.38745469,136,-16324.55357,-16314.72586,-9.82770995,,-0.072262573,18,16.1,0,0,0,0,2.2,0,39.4,0,0,0,15.6,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0.6,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.655
