REFCODE,A,B,C,α,β,γ,Volume,Density,Atom Count,Total Dispersion Correction Energy (vdW) eV,Total Energy eV,Difference in Energy eV,Total Energy Per Molecule eV,Energy per Atom (vdW) eV,CC,CH,CCl,CO,CS,CBr,CN,HBr,HH,HO,HS,HCl,HN,OCl,OO,OS,BrO,ON,NN,ClCl,NS,SS,NCl,SCl,ClBr,SBr,NBr,BrBr,FF,FO,FC,FH,FS,FCl,FN,FBr,II,BrI,ClI,FI,SI,OI,NI,CI,HI,BAND GAP
FERHIV,5.927,10.523,21.877,90,90,90,1364.481,1.28879,140,-15460.175,-15452.156,-8.019,-3863.039,-0.057276429,0,16.9,2.5,0,0,0,0,0,53.9,12.2,0,12,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.137
FEXDAO,6.864,13.199,14.969,90,90,90,1356.169,1.93032,112,-19395.636,-19387.845,-7.792,-4846.961175,-0.069567857,5.5,13.2,0,13.5,0,0,0.4,0,15.8,24.9,0,0,0.6,0,1.7,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,2,3.4,11.4,1.828
FEYMAZ01,7.573,10.368,19.749,90,90,90,1550.504,1.54328,148,-16456.402,-16445.898,-10.505,-4111.4744,-0.070978378,6.9,32.9,0,0,0,0.7,1.5,13.8,39.8,0,0,0,2.7,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.525
FIXBAR,5.501,8.29,12.03,90,96.452,90,545.123,2.56946,36,-5620.391,-5617.619,-2.772,-2808.80945,-0.077,0,4.9,0,0,0,13.8,0,63.5,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.484
FIYDUN,7.102,12.286,14.392,110.697,95.704,93.104,1163.448,1.87306,96,-20582.874,-20575.964,-6.91,-5143.990975,-0.071976042,16.2,5.8,0,1.4,0,0.1,3,17,6.5,5.6,0,0,1.7,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0.2,4.1,2.1,4.3,24.1,0,0,0.7,6.2,0,0,0,0,0,0,0,0,0,1.505
FOVREO,11.909,7.797,12.814,90,107.446,90,1135.028,1.38248,120,-16704.214,-16696.916,-7.298,-4174.2291,-0.0608125,2.6,13.1,0,1.7,0,0,0,0,43.4,22.8,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.1,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,3.198
FUXDAE,11.433,19.932,6.879,90,90,90,1567.678,1.3951,160,-16805.537,-16794.556,-10.981,-4198.639025,-0.0686325,11.1,12.2,1.1,0,0,0,0,0,47.7,0,0,26.7,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.838
GANSUK,5.818,19.811,6.151,90,93.729,90,707.458,1.37235,76,-8888.938,-8883.981,-4.957,-4441.9904,-0.065225,0.6,28.9,0,2.3,0,0,0.5,0,46.8,14.2,0,0,6.5,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.968
GANTAR,5.606,11.712,23.129,90,90,90,1518.453,1.62389,152,-19188.338,-19177.962,-10.376,-4794.49055,-0.068264474,2.7,19.1,0,0.3,0,6.2,2.3,11.2,41.8,13,0,0,2.8,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.615
GAQYII,10.593,12.348,13.458,67.492,82.348,79.971,1597.132,1.4818,148,-26014.638,-26005.51,-9.128,-6501.377475,-0.061676351,2.3,31.3,0,0.8,0,0,0.6,0,18.8,15.1,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.3,8.7,18.7,0,0,1,0,0,0,0,0,0,0,0,0,0,2.453
GEFBAV,10.153,5.913,15.065,90,90,90,904.439,1.55809,80,-14560.589,-14554.908,-5.682,-3638.726875,-0.07102375,6.5,1.1,0,35.3,0,0,0,0,10.4,42.8,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.645
GEFZEY,14.056,14.056,8.178,94.985,94.985,23.28,636.059,1.5206,58,-11134.067,-11130.493,-3.574,-2782.623125,-0.061624138,0.3,30.9,0,7.7,0,0,0,0,13.5,9.8,0,0,0,0,2.5,0,0,2.2,0,0,0,0,0,0,0,0,0,0,6.5,0,0,26.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.895
GEHSES,9.5,11.117,7.689,90,101.378,90,796.139,2.27787,64,-10975.706,-10970.477,-5.229,-2742.61925,-0.081698437,6.8,14,0,8.7,0,0,0.1,0,9.8,23.5,0,0,2.8,0,1.2,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,10.4,0,2.6,18.4,1.265
HEJQUK,4.618,10.432,16.234,102.137,90.027,96.321,759.691,1.47455,70,-11882.168,-11877.448,-4.72,-5938.72405,-0.067432857,13.4,16,0,4,0,0,2.5,0,25.6,0.4,0,0,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,3.2,18.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,2.308
HEJRAR,7.38,8.333,12.542,101.21,91.781,103.277,734.142,1.52586,70,-11883.622,-11878.738,-4.884,-5939.36915,-0.069771429,13.8,17.2,0,3,0,0,3,0,25.6,0.8,0,0,9.8,0,0,0,0,0.5,0.1,0,0,0,0,0,0,0,0,0,1.5,1.8,1.1,20.7,0,0,1.2,0,0,0,0,0,0,0,0,0,0,2.106
