Entry,Index,NAME,a,b,c,alpha,gamma,beta,r_factor,calculated_density
HOMOLUMOCHON_final|HIXLOQ|138,139,HIXLOQ,8.4381,11.6736,15.5291,90.0,90.0,102.655,2.99,1.359
HOMOLUMOCHON_final|HONHEY|139,140,HONHEY,9.647,10.8779,15.2615,90.0,90.0,110.42,5.37,1.285
HOMOLUMOCHON_final|HOPNAC|140,141,HOPNAC,8.915,9.0415,13.2976,85.139,65.228,72.634,5.36,1.197
HOMOLUMOCHON_final|HOPNEG|141,142,HOPNEG,17.9781,15.641,5.618,90.0,90.0,90.0,5.75,1.314
HOMOLUMOCHON_final|IBAFAU|142,143,IBAFAU,10.607,11.268,13.458,72.213,68.946,73.269,6.24,1.27
HOMOLUMOCHON_final|IBUKIB|143,144,IBUKIB,8.5038,22.0912,11.1934,90.0,90.0,91.511,4.71,1.297
HOMOLUMOCHON_final|IDILEM|144,145,IDILEM,13.465,15.135,9.1558,90.0,90.0,108.86,6.14,1.303
HOMOLUMOCHON_final|IDUKIC|145,146,IDUKIC,19.9027,11.3107,8.7157,90.0,90.0,113.994,3.78,1.339
HOMOLUMOCHON_final|IFOTIH|146,147,IFOTIH,10.423,7.9681,17.881,90.0,90.0,93.104,4.96,1.287
HOMOLUMOCHON_final|IFOTON|147,148,IFOTON,9.1817,17.52,9.6747,90.0,90.0,104.68,4.79,1.272
HOMOLUMOCHON_final|IJOBUE|148,149,IJOBUE,10.865,11.869,15.773,87.769,68.853,89.093,4.71,1.21
HOMOLUMOCHON_final|IMEZAB|149,150,IMEZAB,23.661,9.913,6.956,90.0,90.0,90.0,6.07,1.207
HOMOLUMOCHON_final|IPEXIL|150,151,IPEXIL,9.3109,9.1366,17.9124,90.0,90.0,90.322,5.06,1.436
HOMOLUMOCHON_final|IRABEJ|151,152,IRABEJ,10.6995,11.0327,14.2428,69.378,67.575,84.454,3.37,1.281
HOMOLUMOCHON_final|IRABOT|152,153,IRABOT,10.4667,9.4672,23.039,90.0,90.0,93.168,3.6,1.26
HOMOLUMOCHON_final|IVASAA|153,154,IVASAA,12.597,7.3386,22.785,90.0,90.0,90.0,4.82,1.288
