Entry,Index,NAME,a,b,c,alpha,gamma,beta,r_factor,calculated_density
HOMOLUMOCHON_final|DOCCOO|1199,1200,DOCCOO,10.334,11.054,10.822,90.0,90.0,94.57,3.88,1.354
HOMOLUMOCHON_final|DOKLUL|1200,1201,DOKLUL,23.33,6.5014,19.523,90.0,90.0,107.63,7.36,1.385
HOMOLUMOCHON_final|DOKPEZ|1201,1202,DOKPEZ,15.064,9.5733,18.414,90.0,90.0,98.626,4.61,1.433
HOMOLUMOCHON_final|DORLAY|1202,1203,DORLAY,6.7118,8.8117,20.1541,90.0,90.0,90.0,3.17,1.289
HOMOLUMOCHON_final|DORYUF|1203,1204,DORYUF,21.6415,7.7284,11.7898,90.0,90.0,102.402,5.15,1.336
HOMOLUMOCHON_final|DOWJAB|1204,1205,DOWJAB,7.9423,7.9423,16.974,90.0,90.0,90.0,3.88,1.292
HOMOLUMOCHON_final|DOXGON|1205,1206,DOXGON,9.067,12.732,10.946,90.0,90.0,97.935,5.37,1.397
HOMOLUMOCHON_final|DOZXIA|1206,1207,DOZXIA,12.4729,6.9341,14.2423,90.0,90.0,108.414,3.81,1.439
HOMOLUMOCHON_final|DUBQOH|1207,1208,DUBQOH,9.7231,9.0749,13.0834,90.0,90.0,90.0,2.71,1.371
HOMOLUMOCHON_final|DUCTOL|1208,1209,DUCTOL,5.7296,9.601,20.045,88.517,75.67,82.293,3.77,1.275
HOMOLUMOCHON_final|DUJDAO|1209,1210,DUJDAO,10.63,15.076,10.9853,90.0,90.0,117.111,4.57,1.324
HOMOLUMOCHON_final|DUJGUL|1210,1211,DUJGUL,6.8312,13.9632,14.0689,116.615,98.209,99.068,5.93,1.238
HOMOLUMOCHON_final|DUJPEE|1211,1212,DUJPEE,8.8876,10.3031,12.0083,90.0,90.0,100.917,5.78,1.355
HOMOLUMOCHON_final|DUMSUA|1212,1213,DUMSUA,5.047,28.9314,9.6446,90.0,90.0,90.01,4.26,1.402
HOMOLUMOCHON_final|DUNDIA|1213,1214,DUNDIA,8.7794,12.715,12.716,90.0,90.0,90.0,4.05,1.891
HOMOLUMOCHON_final|DUTGIJ|1214,1215,DUTGIJ,8.0575,13.4483,14.8488,90.0,90.0,94.049,8.91,1.313
HOMOLUMOCHON_final|DUTMUB|1215,1216,DUTMUB,8.6319,11.813,14.3562,75.395,76.185,72.876,4.82,1.308
HOMOLUMOCHON_final|DUTQIT|1216,1217,DUTQIT,9.4905,10.6167,10.8198,93.014,110.537,95.167,3.07,1.297
HOMOLUMOCHON_final|DUXCUV|1217,1218,DUXCUV,6.6279,7.5251,23.1973,90.0,90.0,96.086,4.26,1.433
HOMOLUMOCHON_final|DUXVUO|1218,1219,DUXVUO,5.2704,7.5069,34.36,90.0,90.0,90.0,3.27,1.17
HOMOLUMOCHON_final|DUYGAG|1219,1220,DUYGAG,12.064,18.967,9.2297,90.0,90.0,109.896,4.8,1.139
HOMOLUMOCHON_final|DUYGEK|1220,1221,DUYGEK,9.254,13.696,13.783,90.0,90.0,104.02,3.3,1.224
HOMOLUMOCHON_final|DUYGIO|1221,1222,DUYGIO,8.5108,8.158,27.118,90.0,90.0,93.295,5.08,1.154
HOMOLUMOCHON_final|DUYGOU|1222,1223,DUYGOU,19.7742,4.9833,20.7279,90.0,90.0,109.443,4.97,1.167
HOMOLUMOCHON_final|DUYHOV|1223,1224,DUYHOV,12.526,18.183,11.157,90.0,90.0,110.83,4.74,1.092
HOMOLUMOCHON_final|DUZGIO01|1224,1225,DUZGIO01,8.3421,8.7999,22.1725,90.0,90.0,90.0,3.56,1.226
HOMOLUMOCHON_final|DUZQEV|1225,1226,DUZQEV,6.5926,8.4328,31.6668,90.0,90.0,90.0,3.4,1.288
HOMOLUMOCHON_final|DUZQUL|1226,1227,DUZQUL,7.1755,8.4477,24.7321,90.0,90.0,90.0,3.72,1.3
HOMOLUMOCHON_final|DUZRAS|1227,1228,DUZRAS,8.6623,15.0663,11.8207,90.0,90.0,108.712,4.45,1.329
HOMOLUMOCHON_final|DUZVUQ|1228,1229,DUZVUQ,9.7465,10.5257,15.1675,92.9539,114.7648,108.1349,5.64,1.171
HOMOLUMOCHON_final|EBIGUR02|1229,1230,EBIGUR02,12.798,10.466,19.215,90.0,90.0,108.1,5.75,1.326
HOMOLUMOCHON_final|EBOPAN|1230,1231,EBOPAN,19.647,11.3652,7.8712,90.0,90.0,93.673,5.18,1.342
HOMOLUMOCHON_final|ECAPAB|1231,1232,ECAPAB,23.0876,8.789,13.8108,90.0,90.0,106.315,5.77,1.419
HOMOLUMOCHON_final|ECUJIV|1232,1233,ECUJIV,7.147,11.284,18.635,90.0,90.0,90.0,3.42,1.323
HOMOLUMOCHON_final|EDAHAT|1233,1234,EDAHAT,10.5415,12.4658,13.8618,90.0,90.0,90.0,3.4,1.22
HOMOLUMOCHON_final|EDEVEP|1234,1235,EDEVEP,13.61,8.913,7.978,90.0,90.0,105.266,4.61,1.396
HOMOLUMOCHON_final|EDITIV|1235,1236,EDITIV,4.6959,14.281,15.472,93.424,94.217,92.917,4.72,1.354
HOMOLUMOCHON_final|EDOSUM|1236,1237,EDOSUM,10.004,11.786,14.197,90.0,90.0,106.57,4.2,1.347
HOMOLUMOCHON_final|EDUFUF|1237,1238,EDUFUF,15.0205,10.7111,15.1438,90.0,90.0,115.412,5.83,1.312
HOMOLUMOCHON_final|EFEROX|1238,1239,EFEROX,7.3942,9.8421,27.3297,90.0,90.0,90.0,3.18,1.354
HOMOLUMOCHON_final|EFIBIF|1239,1240,EFIBIF,8.3215,11.1341,21.8296,90.0,90.0,96.287,3.49,1.29
HOMOLUMOCHON_final|EFUYUA|1240,1241,EFUYUA,9.5418,13.7866,15.7652,90.0,90.0,90.0,3.01,1.411
HOMOLUMOCHON_final|EGAGAV|1241,1242,EGAGAV,10.8269,17.907,11.1352,90.0,90.0,100.958,3.9,1.293
HOMOLUMOCHON_final|EGANAC|1242,1243,EGANAC,19.3878,5.1046,14.4014,90.0,90.0,109.734,4.48,1.388
HOMOLUMOCHON_final|EGEPIQ|1243,1244,EGEPIQ,5.5267,16.092,10.993,90.0,90.0,90.99,5.73,1.449
HOMOLUMOCHON_final|EGIHUX|1244,1245,EGIHUX,7.6096,8.7046,21.8164,90.0,90.0,90.0,4.19,1.22
HOMOLUMOCHON_final|EHEVUJ|1245,1246,EHEVUJ,11.778,5.8802,18.359,90.0,90.0,95.584,5.39,1.33
HOMOLUMOCHON_final|EHIDOP|1246,1247,EHIDOP,7.9939,11.9064,13.8485,68.816,72.174,77.48,5.64,1.285
HOMOLUMOCHON_final|EHIJIP|1247,1248,EHIJIP,11.2556,13.1212,15.9404,90.0,90.0,90.0,3.78,1.235
HOMOLUMOCHON_final|EHIQOC|1248,1249,EHIQOC,11.6229,9.8793,10.1094,90.0,90.0,94.834,3.67,1.472
HOMOLUMOCHON_final|EHOLES|1249,1250,EHOLES,9.703,12.6509,15.547,90.0,90.0,90.0,3.72,1.258
HOMOLUMOCHON_final|EHOLOC|1250,1251,EHOLOC,9.028,9.627,13.6038,87.879,74.447,89.425,7.9,1.259
HOMOLUMOCHON_final|EJAKIK|1251,1252,EJAKIK,8.9813,9.9331,12.3688,78.537,73.561,84.515,4.93,1.283
HOMOLUMOCHON_final|EJAXUJ|1252,1253,EJAXUJ,7.8037,11.7086,18.3534,90.0,90.0,90.0,3.5,1.34
HOMOLUMOCHON_final|EJIFEJ|1253,1254,EJIFEJ,13.425,10.594,8.249,90.0,90.0,97.152,4.61,1.291
HOMOLUMOCHON_final|EJIJAJ|1254,1255,EJIJAJ,5.8529,8.5982,26.991,90.0,90.0,94.632,4.68,1.243
HOMOLUMOCHON_final|EJITOH|1255,1256,EJITOH,4.6764,8.6795,22.675,90.0,90.0,90.435,3.33,1.308
HOMOLUMOCHON_final|EKOROM|1256,1257,EKOROM,11.8125,11.1729,11.863,90.0,90.0,103.765,3.27,1.412
HOMOLUMOCHON_final|ELOJAR|1257,1258,ELOJAR,7.5281,15.324,15.48,90.0,90.0,103.12,5.5,1.285
HOMOLUMOCHON_final|ELUDOF|1258,1259,ELUDOF,24.234,8.0518,17.783,90.0,90.0,127.645,3.99,1.37
HOMOLUMOCHON_final|ELUSOU|1259,1260,ELUSOU,8.8298,11.8871,21.7347,90.0,90.0,90.0,3.49,1.332
HOMOLUMOCHON_final|EMITEA|1260,1261,EMITEA,7.5448,10.5798,11.1164,90.0,90.0,90.0,3.81,1.401
HOMOLUMOCHON_final|EMUBAQ|1261,1262,EMUBAQ,9.07,11.53,20.816,90.0,90.0,90.0,3.59,1.192
HOMOLUMOCHON_final|EMUREK|1262,1263,EMUREK,15.4899,6.8561,24.1167,90.0,90.0,90.0,4.01,1.397
HOMOLUMOCHON_final|EMUXIU|1263,1264,EMUXIU,9.4053,9.7021,21.9587,90.0,90.0,92.978,8.61,1.233
HOMOLUMOCHON_final|ENALOU|1264,1265,ENALOU,5.982,19.367,9.739,90.0,90.0,100.86,4.49,1.194
HOMOLUMOCHON_final|ENALOU01|1265,1266,ENALOU01,5.918,19.213,9.651,90.0,90.0,101.25,7.91,1.23
HOMOLUMOCHON_final|ENAMAH|1266,1267,ENAMAH,23.937,6.216,8.397,90.0,90.0,90.0,3.89,1.208
HOMOLUMOCHON_final|ENELAK|1267,1268,ENELAK,21.724,7.9633,13.6074,90.0,90.0,95.924,6.39,1.556
HOMOLUMOCHON_final|ENILES|1268,1269,ENILES,8.234,19.654,12.149,90.0,90.0,104.574,5.19,1.311
HOMOLUMOCHON_final|ENILIW|1269,1270,ENILIW,8.966,13.143,14.339,90.0,90.0,106.012,4.63,1.282
HOMOLUMOCHON_final|ENIMOD|1270,1271,ENIMOD,9.859,18.557,10.768,90.0,90.0,105.864,7.73,1.246
HOMOLUMOCHON_final|ENUHIF|1271,1272,ENUHIF,9.3959,5.7085,24.8921,90.0,90.0,96.885,4.13,1.47
HOMOLUMOCHON_final|EPOMIG|1272,1273,EPOMIG,13.0014,7.8134,15.2139,90.0,90.0,111.926,5.99,1.29
HOMOLUMOCHON_final|EQANIU|1273,1274,EQANIU,8.94134,9.9466,16.0925,90.0,90.0,90.0,3.21,1.334
HOMOLUMOCHON_final|EQAYOL|1274,1275,EQAYOL,8.876,9.552,25.421,90.0,90.0,90.092,9.31,1.527
HOMOLUMOCHON_final|EQIXOS|1275,1276,EQIXOS,4.8371,16.9591,12.7986,90.0,90.0,92.609,5.85,1.528
HOMOLUMOCHON_final|EQUTAM|1276,1277,EQUTAM,5.5682,8.6005,33.371,90.0,90.0,91.871,5.62,1.353
HOMOLUMOCHON_final|ERARIZ01|1277,1278,ERARIZ01,9.6236,10.418,15.017,90.0,90.0,90.0,3.53,1.144
HOMOLUMOCHON_final|ERIWEI|1278,1279,ERIWEI,9.7261,12.4444,15.8413,90.0,90.0,108.884,3.7,1.437
HOMOLUMOCHON_final|ERIZEL|1279,1280,ERIZEL,9.3943,6.8946,20.7251,90.0,90.0,92.065,4.33,1.413
HOMOLUMOCHON_final|EROBET|1280,1281,EROBET,7.3643,29.8703,6.7802,90.0,90.0,105.294,4.85,1.46
HOMOLUMOCHON_final|EROPOR|1281,1282,EROPOR,8.58,11.1286,11.4996,94.425,92.992,99.191,4.6,1.31
HOMOLUMOCHON_final|EROYAM|1282,1283,EROYAM,9.1057,12.7031,21.3874,90.0,90.0,90.0,4.16,1.382
HOMOLUMOCHON_final|ESUQOZ|1283,1284,ESUQOZ,8.5084,12.9911,16.5289,90.0,90.0,90.0,3.45,1.212
HOMOLUMOCHON_final|ESUQUF|1284,1285,ESUQUF,7.4129,13.3417,15.7893,90.0,90.0,90.0,4.01,1.248
HOMOLUMOCHON_final|ETAGEM|1285,1286,ETAGEM,11.3656,13.4721,7.4844,90.0,90.0,94.562,4.62,1.356
HOMOLUMOCHON_final|ETAGIQ|1286,1287,ETAGIQ,9.0389,10.0864,13.588,72.58,63.795,88.295,3.67,1.282
HOMOLUMOCHON_final|ETITOQ|1287,1288,ETITOQ,19.0275,9.8262,17.4862,90.0,90.0,118.486,4.23,1.319
HOMOLUMOCHON_final|ETIWIO|1288,1289,ETIWIO,10.129,20.632,9.3329,90.0,90.0,90.0,2.88,1.459
HOMOLUMOCHON_final|EVAJER|1289,1290,EVAJER,12.6215,10.5929,14.3629,90.0,90.0,90.966,4.22,1.258
HOMOLUMOCHON_final|EVEDOY|1290,1291,EVEDOY,15.3827,7.0604,12.8704,90.0,90.0,91.103,4.68,1.314
HOMOLUMOCHON_final|EVELOH|1291,1292,EVELOH,11.644,16.228,12.431,90.0,90.0,91.75,3.91,1.269
HOMOLUMOCHON_final|EVEMEY|1292,1293,EVEMEY,19.733,5.1441,12.436,90.0,90.0,107.477,10.94,1.303
HOMOLUMOCHON_final|EVEPAX|1293,1294,EVEPAX,12.0046,7.9329,22.925,90.0,90.0,90.0,4.76,1.365
HOMOLUMOCHON_final|EVEWOS|1294,1295,EVEWOS,20.5756,8.1298,14.0411,90.0,90.0,98.871,3.89,1.461
HOMOLUMOCHON_final|EVEXAE|1295,1296,EVEXAE,7.1177,15.9835,12.2135,90.0,90.0,100.343,3.82,1.454
HOMOLUMOCHON_final|EVICOC|1296,1297,EVICOC,10.0973,17.4145,7.0564,90.0,90.0,90.0,3.17,1.105
HOMOLUMOCHON_final|EVILIF|1297,1298,EVILIF,17.8256,8.7584,11.9182,90.0,90.0,100.404,2.36,1.366
HOMOLUMOCHON_final|EVOHAZ|1298,1299,EVOHAZ,9.1195,11.9614,12.0393,90.0,90.0,90.0,3.27,1.241
HOMOLUMOCHON_final|EWADUB|1299,1300,EWADUB,15.492,11.134,14.335,90.0,90.0,105.084,4.39,1.176
HOMOLUMOCHON_final|EWEHEU|1300,1301,EWEHEU,9.5185,10.7567,16.0768,90.0,90.0,90.0,3.48,1.244
HOMOLUMOCHON_final|EWIJIE|1301,1302,EWIJIE,6.4713,12.2439,21.5133,90.0,90.0,90.0,2.56,1.373
HOMOLUMOCHON_final|EWILOL|1302,1303,EWILOL,10.5054,9.2537,16.9402,90.0,90.0,96.405,5.01,1.223
HOMOLUMOCHON_final|EWIYAK|1303,1304,EWIYAK,13.33,7.2301,11.752,90.0,90.0,90.0,3.07,1.268
HOMOLUMOCHON_final|EXIHID|1304,1305,EXIHID,14.2016,14.4725,7.9935,90.0,90.0,96.017,3.48,1.335
HOMOLUMOCHON_final|EXIHOJ|1305,1306,EXIHOJ,7.6586,16.5858,13.322,90.0,90.0,104.164,3.56,1.386
HOMOLUMOCHON_final|EXIPIL|1306,1307,EXIPIL,4.8246,9.766,28.024,90.0,90.0,90.0,4.1,1.315
HOMOLUMOCHON_final|EYOFUT|1307,1308,EYOFUT,5.0472,11.3381,16.8796,90.0,90.0,94.331,4.34,1.346
HOMOLUMOCHON_final|EZAYOU|1308,1309,EZAYOU,11.0839,7.5405,12.2852,90.0,90.0,106.18,2.47,1.338
HOMOLUMOCHON_final|EZEGOG|1309,1310,EZEGOG,10.8197,12.371,18.2439,90.0,90.0,90.0,7.6,1.367
HOMOLUMOCHON_final|EZUTIC|1310,1311,EZUTIC,15.6285,9.9324,12.9012,90.0,90.0,105.519,4.16,1.261
HOMOLUMOCHON_final|FACVIQ|1311,1312,FACVIQ,7.6052,13.5568,16.9736,90.0,90.0,90.0,3.46,1.296
HOMOLUMOCHON_final|FACZIU|1312,1313,FACZIU,15.0518,7.8121,10.9784,90.0,90.0,127.009,6.87,1.349
HOMOLUMOCHON_final|FACZOA|1313,1314,FACZOA,8.0408,9.8552,11.1629,82.241,83.872,71.089,4.49,1.178
HOMOLUMOCHON_final|FANTAQ|1314,1315,FANTAQ,5.5474,16.996,18.256,90.0,90.0,90.0,3.57,1.41
HOMOLUMOCHON_final|FANYAV|1315,1316,FANYAV,7.6907,25.275,5.6861,90.0,90.0,90.0,3.02,1.257
HOMOLUMOCHON_final|FARXAY|1316,1317,FARXAY,7.338,10.661,22.348,90.0,90.0,90.0,4.52,1.392
HOMOLUMOCHON_final|FEDPEK|1317,1318,FEDPEK,15.422,3.8275,19.282,90.0,90.0,103.29,3.91,1.633
HOMOLUMOCHON_final|FEDPOU|1318,1319,FEDPOU,21.232,15.89,6.9311,90.0,90.0,90.0,7.37,1.547
HOMOLUMOCHON_final|FEZQIL|1319,1320,FEZQIL,9.8972,12.4672,21.6365,90.0,90.0,90.0,9.35,1.191
HOMOLUMOCHON_final|FIZPUA|1320,1321,FIZPUA,9.0758,9.4879,11.7377,90.0,90.0,90.0,3.73,1.276
HOMOLUMOCHON_final|FOGTUR01|1321,1322,FOGTUR01,7.3201,13.9189,15.8356,90.0,90.0,90.0,3.1,1.479
HOMOLUMOCHON_final|FOLSUV|1322,1323,FOLSUV,7.8852,15.3322,16.3273,90.0,90.0,90.0,4.58,1.331
HOMOLUMOCHON_final|FONDUI|1323,1324,FONDUI,13.3063,9.8112,13.9186,90.0,90.0,91.702,4.27,1.146
HOMOLUMOCHON_final|FOQZER|1324,1325,FOQZER,13.451,14.135,6.843,90.0,90.0,93.43,5.49,1.393
HOMOLUMOCHON_final|FOQZOB|1325,1326,FOQZOB,8.895,7.565,19.491,90.0,90.0,93.05,6.11,1.325
HOMOLUMOCHON_final|FORDIA|1326,1327,FORDIA,11.7934,14.3002,8.4444,90.0,90.0,106.243,4.6,1.337
HOMOLUMOCHON_final|FOVCEZ|1327,1328,FOVCEZ,11.892,7.359,15.886,90.0,90.0,107.2,2.19,1.322
HOMOLUMOCHON_final|FOVSAL|1328,1329,FOVSAL,5.6811,8.7378,24.831,90.0,90.0,93.208,7.54,1.389
HOMOLUMOCHON_final|FOWVIX|1329,1330,FOWVIX,6.973,16.678,8.871,90.0,90.0,106.987,3.71,1.523
HOMOLUMOCHON_final|FOWWUK|1330,1331,FOWWUK,9.1184,11.5989,12.1684,90.0,90.0,90.0,3.16,1.276
HOMOLUMOCHON_final|FOXCAX|1331,1332,FOXCAX,4.6662,15.3356,20.9273,90.0,90.0,90.0,4.85,1.301
HOMOLUMOCHON_final|FOXLIO|1332,1333,FOXLIO,7.267,13.741,19.127,90.0,90.0,90.0,4.82,1.386
HOMOLUMOCHON_final|FOXTOC|1333,1334,FOXTOC,21.3474,8.8854,10.2307,90.0,90.0,90.0,2.87,1.405
HOMOLUMOCHON_final|FUGQON01|1334,1335,FUGQON01,14.8322,10.0966,15.5998,90.0,90.0,113.553,1.8,1.258
HOMOLUMOCHON_final|FUJBOC|1335,1336,FUJBOC,9.8666,11.1565,18.4884,90.0,90.0,90.0,3.96,1.346
HOMOLUMOCHON_final|FUPMUZ|1336,1337,FUPMUZ,11.2331,14.3356,9.022,90.0,90.0,90.67,5.35,1.159
HOMOLUMOCHON_final|FUPNAG|1337,1338,FUPNAG,31.564,4.7098,15.1845,90.0,90.0,101.074,4.07,1.255
HOMOLUMOCHON_final|FUSFUV|1338,1339,FUSFUV,13.4992,5.8966,15.5307,90.0,90.0,90.15,4.52,1.377
HOMOLUMOCHON_final|FUSGAC|1339,1340,FUSGAC,10.8081,12.6964,11.9238,90.0,90.0,93.3,3.98,1.242
HOMOLUMOCHON_final|FUWTOH|1340,1341,FUWTOH,7.8935,9.2558,22.2878,90.0,90.0,90.0,5.67,1.352
HOMOLUMOCHON_final|FUXXOM|1341,1342,FUXXOM,9.9834,18.7663,14.7223,90.0,90.0,105.087,6.09,1.428
HOMOLUMOCHON_final|FUZLUI|1342,1343,FUZLUI,6.2107,27.632,7.1969,90.0,90.0,114.003,3.9,1.373
HOMOLUMOCHON_final|GADCAQ|1343,1344,GADCAQ,15.9654,20.9507,5.9824,90.0,90.0,90.0,3.83,1.167
HOMOLUMOCHON_final|GADGOJ|1344,1345,GADGOJ,8.7155,11.7684,14.0949,88.566,68.624,85.999,5.42,1.468
HOMOLUMOCHON_final|GADHEZ|1345,1346,GADHEZ,8.1258,12.0592,14.6561,90.0,90.0,90.0,4.98,1.245
HOMOLUMOCHON_final|GAKVIZ|1346,1347,GAKVIZ,11.591,10.437,8.892,90.0,90.0,105.27,6.89,1.505
HOMOLUMOCHON_final|GAKVOF|1347,1348,GAKVOF,12.316,10.616,7.863,90.0,90.0,92.39,4.82,1.521
HOMOLUMOCHON_final|GAKVUL|1348,1349,GAKVUL,6.948,20.546,7.362,90.0,90.0,93.56,3.28,1.489
HOMOLUMOCHON_final|GAKWAS|1349,1350,GAKWAS,14.202,14.267,11.223,90.0,90.0,90.0,4.81,1.637
HOMOLUMOCHON_final|GANSUK|1350,1351,GANSUK,5.8412,19.9242,6.1298,90.0,90.0,94.228,5.77,1.365
HOMOLUMOCHON_final|GANTEV|1351,1352,GANTEV,10.4659,11.374,13.026,90.0,90.0,90.0,2.52,1.321
HOMOLUMOCHON_final|GANVEX|1352,1353,GANVEX,10.08,11.664,18.265,90.0,90.0,103.976,4.86,1.277
HOMOLUMOCHON_final|GANVUN|1353,1354,GANVUN,12.194,8.973,17.515,90.0,90.0,96.684,4.27,1.338
HOMOLUMOCHON_final|GANWAU|1354,1355,GANWAU,10.4549,19.1324,7.658,90.0,90.0,90.0,3.22,1.385
HOMOLUMOCHON_final|GASNEU|1355,1356,GASNEU,13.713,6.977,10.013,90.0,90.0,90.0,3.48,1.485
HOMOLUMOCHON_final|GAVYUY|1356,1357,GAVYUY,14.4202,7.1619,18.5166,90.0,90.0,90.0,4.19,1.242
HOMOLUMOCHON_final|GEQKOD|1357,1358,GEQKOD,14.2376,8.0308,14.768,90.0,90.0,116.56,3.55,1.352
HOMOLUMOCHON_final|GERLAR|1358,1359,GERLAR,7.4126,7.7241,21.766,90.0,90.0,94.787,6.6,1.312
HOMOLUMOCHON_final|GIMQEZ|1359,1360,GIMQEZ,12.704,15.154,11.7651,90.0,90.0,107.44,6.67,1.219
HOMOLUMOCHON_final|GINCOW|1360,1361,GINCOW,26.695,8.2513,13.5873,90.0,90.0,116.589,6.2,1.525
HOMOLUMOCHON_final|GINGIU|1361,1362,GINGIU,9.3842,11.9025,18.6386,90.0,90.0,90.0,3.36,1.294
HOMOLUMOCHON_final|GINHER|1362,1363,GINHER,11.7776,9.4779,18.818,90.0,90.0,90.0,4.25,1.222
HOMOLUMOCHON_final|GINREC|1363,1364,GINREC,8.68223,9.37693,10.5095,77.9474,75.9219,80.9942,5.14,1.286
HOMOLUMOCHON_final|GIPBAJ|1364,1365,GIPBAJ,10.5947,8.4392,12.2528,90.0,90.0,94.428,3.88,1.263
HOMOLUMOCHON_final|GIPCIS|1365,1366,GIPCIS,9.4847,12.0494,24.2743,90.0,90.0,92.289,7.96,1.276
HOMOLUMOCHON_final|GIRNUR|1366,1367,GIRNUR,11.6368,7.2494,24.7339,90.0,90.0,90.0,4.15,1.377
HOMOLUMOCHON_final|GISPII|1367,1368,GISPII,4.7915,11.593,17.966,90.0,90.0,96.11,3.34,1.186
HOMOLUMOCHON_final|GIVHOJ|1368,1369,GIVHOJ,9.4397,11.6437,9.704,90.0,90.0,104.825,3.65,1.419
HOMOLUMOCHON_final|GODDUZ|1369,1370,GODDUZ,9.5369,10.9797,19.7388,90.0,90.0,90.0,6.09,1.235
HOMOLUMOCHON_final|GOFRID|1370,1371,GOFRID,22.7076,6.0374,11.6789,90.0,90.0,100.235,4.09,1.249
HOMOLUMOCHON_final|GOFVIH|1371,1372,GOFVIH,18.5958,7.071,19.4821,90.0,90.0,112.487,4.04,1.326
HOMOLUMOCHON_final|GOFVUT|1372,1373,GOFVUT,11.0075,10.5197,15.4479,90.0,90.0,93.967,4.7,1.368
HOMOLUMOCHON_final|GOJDOY01|1373,1374,GOJDOY01,12.1176,11.3888,15.2667,90.0,90.0,98.8372,4.04,1.38
HOMOLUMOCHON_final|GOKMOJ|1374,1375,GOKMOJ,8.1941,12.3569,11.9673,90.0,90.0,105.214,5.77,1.354
HOMOLUMOCHON_final|GOLWEK|1375,1376,GOLWEK,13.7343,7.9039,20.8408,90.0,90.0,122.677,4.55,1.282
HOMOLUMOCHON_final|GOLZUD|1376,1377,GOLZUD,7.9633,19.889,7.9822,90.0,90.0,111.16,4.3,1.246
HOMOLUMOCHON_final|GUDKIA|1377,1378,GUDKIA,13.781,8.091,14.656,90.0,90.0,107.567,6.95,1.477
HOMOLUMOCHON_final|GUDWIM|1378,1379,GUDWIM,6.26164,17.725,17.8039,90.0,90.0,90.0,3.19,1.235
HOMOLUMOCHON_final|GUFGEU|1379,1380,GUFGEU,16.9331,7.5584,22.447,90.0,90.0,90.0,4.5,1.338
HOMOLUMOCHON_final|GUGXUC|1380,1381,GUGXUC,10.8315,7.99869,11.1291,90.0,90.0,101.9192,2.79,1.262
HOMOLUMOCHON_final|GUGZIS|1381,1382,GUGZIS,9.9888,10.6897,13.5774,85.729,71.738,68.552,4.04,1.218
HOMOLUMOCHON_final|GUSRIV|1382,1383,GUSRIV,8.8807,10.0998,11.4354,90.0,90.0,109.6879,3.85,1.315
HOMOLUMOCHON_final|GUZSAW|1383,1384,GUZSAW,24.6054,7.0101,15.5516,90.0,90.0,90.0,3.91,1.403
HOMOLUMOCHON_final|GUZSEA|1384,1385,GUZSEA,9.5125,10.8526,16.4229,90.0,90.0,90.0,2.66,1.353
HOMOLUMOCHON_final|HACRAG|1385,1386,HACRAG,14.7468,5.0698,21.3719,90.0,90.0,100.896,3.52,1.31
HOMOLUMOCHON_final|HACREK|1386,1387,HACREK,6.662,10.282,27.01,90.0,90.0,90.0,3.4,1.369
HOMOLUMOCHON_final|HAFPEK|1387,1388,HAFPEK,10.469,16.227,7.506,90.0,90.0,97.38,5.84,1.315
HOMOLUMOCHON_final|HALMUE|1388,1389,HALMUE,8.3558,14.4603,15.5035,90.0,90.0,90.0,2.61,1.405
HOMOLUMOCHON_final|HAMQIW|1389,1390,HAMQIW,13.302,11.707,14.412,90.0,90.0,91.76,4.8,1.352
HOMOLUMOCHON_final|HAWSEE|1390,1391,HAWSEE,14.864,14.399,6.8726,90.0,90.0,103.613,3.76,1.372
HOMOLUMOCHON_final|HAWTIJ|1391,1392,HAWTIJ,9.1694,26.264,6.132,90.0,90.0,90.0,4.04,1.135
HOMOLUMOCHON_final|HAYHIZ01|1392,1393,HAYHIZ01,9.4903,10.1173,14.8436,90.0,90.0,90.0,3.45,1.33
HOMOLUMOCHON_final|HAZKEZ|1393,1394,HAZKEZ,5.188,25.519,10.726,90.0,90.0,98.117,5.8,1.428
HOMOLUMOCHON_final|HESYAG|1394,1395,HESYAG,9.9257,14.9179,13.3095,90.0,90.0,109.413,5.56,1.209
HOMOLUMOCHON_final|HESYIO|1395,1396,HESYIO,9.9984,16.02,13.474,90.0,90.0,107.784,9.07,1.223
HOMOLUMOCHON_final|HEWVIP|1396,1397,HEWVIP,10.127,10.036,14.7,90.0,90.0,90.23,3.78,1.32
HOMOLUMOCHON_final|HEZWAL|1397,1398,HEZWAL,4.542,10.241,26.921,90.0,90.0,90.0,4.39,1.556
HOMOLUMOCHON_final|HIBDIG|1398,1399,HIBDIG,13.4259,8.8327,20.209,90.0,90.0,102.601,3.94,1.308
HOMOLUMOCHON_final|HIBDOM|1399,1400,HIBDOM,11.9213,8.9492,13.3176,90.0,90.0,102.097,5.77,1.235
HOMOLUMOCHON_final|HIBDUS|1400,1401,HIBDUS,18.3896,26.778,4.7968,90.0,90.0,90.0,3.2,1.295
HOMOLUMOCHON_final|HIBJEI|1401,1402,HIBJEI,11.875,7.4109,16.607,90.0,90.0,103.8,7.27,1.401
HOMOLUMOCHON_final|HIFSUL|1402,1403,HIFSUL,9.3969,9.4328,12.2133,90.0,90.0,90.0,3.39,1.455
HOMOLUMOCHON_final|HIJZOQ|1403,1404,HIJZOQ,8.2199,24.5947,8.0807,90.0,90.0,111.629,3.87,1.388
HOMOLUMOCHON_final|HIYROX|1404,1405,HIYROX,10.4974,14.129,16.495,90.0,90.0,90.0,4.14,1.367
